bill_ID,item_ID,quantity
ea27b5d9-670c-4ce4-a4b4-68dd7812a76d,4a61e4d8-6265-45ee-9bd2-b7667d1edada,2
ea27b5d9-670c-4ce4-a4b4-68dd7812a76d,42e4daeb-6c8f-4b24-ba31-4b120750edd0,1
29a87a82-c1f4-457e-ac57-8e7b3b67842a,4f975ab3-c65d-4c8e-b499-f050f07186c6,3
29a87a82-c1f4-457e-ac57-8e7b3b67842a,805a0f36-ae8f-4cf8-bb6d-b566d439bf52,2
344df5af-f6aa-4925-8690-2a32f2089ec4,5618265c-80c8-42d1-add7-ba463aed79d0,4
344df5af-f6aa-4925-8690-2a32f2089ec4,94158321-886e-4f1c-9806-1f1be9269339,2
838dd2c8-14cf-4b8c-86f2-adef3cb6ef40,d9317e4c-c738-43d3-85b9-4e643d908678,1
f395d865-2d19-40d7-b42a-25dd8e246856,1eb2f218-727a-44b0-9da1-372ff2b335a9,3
77788ee7-a3b6-4d0c-91c9-e234019445b0,30ce9acd-9564-40db-ae81-c27dbab05a4f,1
77788ee7-a3b6-4d0c-91c9-e234019445b0,17ee3f1b-0fd5-4d07-9bda-a8685e53a793,2
62af121f-f7d9-41df-8322-9b9aa775f44e,073ac92d-8332-4f23-91d3-271b3966fc3f,1
62af121f-f7d9-41df-8322-9b9aa775f44e,81ebbf10-17c8-4faa-809b-a73b463a66ef,2
56e6f892-be3d-4067-94ff-a284714c9536,6b5b8355-fbfa-467e-9c00-c89735cdd4e6,2
56e6f892-be3d-4067-94ff-a284714c9536,586aacae-8e38-48f3-8f0a-0edb7a6104a0,3
230ffbe7-9ce6-49af-9f38-f880e9d84087,a5247783-310c-4af8-ad36-8e51d1e0ae30,1
a18c9cdd-991d-46ed-a926-3bce801a1ea8,57890bc6-5f2a-4a30-b07b-20c20425a11f,2
dcd03c88-aeba-4d30-befa-fc85f52f7c88,115d5294-3524-4d90-84ab-33ca7a6c76c6,1
dcd03c88-aeba-4d30-befa-fc85f52f7c88,f3a9cc47-e1ad-4a99-b450-5e8567ee6607,2
dbbffc9f-fb2d-49ca-afd1-9b3558bb597c,4a61e4d8-6265-45ee-9bd2-b7667d1edada,3
dbbffc9f-fb2d-49ca-afd1-9b3558bb597c,5618265c-80c8-42d1-add7-ba463aed79d0,2
ea92fce2-7ab6-4836-918f-b4ea68483ae8,558c2b91-86f1-47e7-9464-3fdd1a371c5c,1
ea92fce2-7ab6-4836-918f-b4ea68483ae8,30ce9acd-9564-40db-ae81-c27dbab05a4f,2
4e760139-85c0-4686-a152-cb5979b01e80,805a0f36-ae8f-4cf8-bb6d-b566d439bf52,2
4e760139-85c0-4686-a152-cb5979b01e80,57890bc6-5f2a-4a30-b07b-20c20425a11f,1
250ec20a-b0ed-40e8-95ed-e99dd6a8f8e9,f3a9cc47-e1ad-4a99-b450-5e8567ee6607,1
f3052137-4c7b-4cbf-ba91-ba65301d74bf,073ac92d-8332-4f23-91d3-271b3966fc3f,2
f3052137-4c7b-4cbf-ba91-ba65301d74bf,81ebbf10-17c8-4faa-809b-a73b463a66ef,1
cfcd20b4-0bc6-4bdf-b954-3452622b06b7,586aacae-8e38-48f3-8f0a-0edb7a6104a0,2
cfcd20b4-0bc6-4bdf-b954-3452622b06b7,a5247783-310c-4af8-ad36-8e51d1e0ae30,3
